ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score_sum,Score_weightedAvg,Score_weightedStdDev,Q1.1,Q1.2,Q1.2_TEXT,Q1.3,Q1.3_TEXT,Q2.1_1,Q2.1_2,Q2.1_3,Q2.1_4,Q2.1_5,Q2.1_6,Q2.1_7,Q2.1_8,Q2.1_8_TEXT,Q2.2_x35,Q2.2_x4,Q2.2_x6,Q2.2_x25,Q2.2_x13,Q2.2_x2,Q2.2_x3,Q2.2_x15,Q2.2_x15_TEXT,Q2.3_x35,Q2.3_x4,Q2.3_x6,Q2.3_x25,Q2.3_x13,Q2.3_x2,Q2.3_x3,Q2.3_x15,Q2.3_x15_TEXT,Q3.1_1_35,Q3.1_2_35,Q3.1_3_35,Q3.1_4_35,Q3.1_5_35,Q3.2_35,Q3.1_1_4,Q3.1_2_4,Q3.1_3_4,Q3.1_4_4,Q3.1_5_4,Q3.2_4,Q3.1_1_6,Q3.1_2_6,Q3.1_3_6,Q3.1_4_6,Q3.1_5_6,Q3.2_6,Q3.1_1_25,Q3.1_2_25,Q3.1_3_25,Q3.1_4_25,Q3.1_5_25,Q3.2_25,Q3.1_1_13,Q3.1_2_13,Q3.1_3_13,Q3.1_4_13,Q3.1_5_13,Q3.2_13,Q3.1_1_2,Q3.1_2_2,Q3.1_3_2,Q3.1_4_2,Q3.1_5_2,Q3.2_2,Q3.1_1_3,Q3.1_2_3,Q3.1_3_3,Q3.1_4_3,Q3.1_5_3,Q3.2_3,Q3.1_1_15,Q3.1_2_15,Q3.1_3_15,Q3.1_4_15,Q3.1_5_15,Q3.2_15,Q4.1,Q4.2,Q5.1,Q5.2_1,Q5.2_2,Q5.2_3,Q5.2_4,LocationLatitude,LocationLongitude,LocationAccuracy
R_12a1KjBTu1SKMsZ,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,26.0,3.25,1.8322507626258087,1,Budget & Planning, ,Staff/Administrator, ,1,1,1,1, , ,1, , ,2 years to less than 3 years,2 years to less than 3 years,2 years to less than 3 years,2 years to less than 3 years, , ,2 years to less than 3 years, , ,Weekly,Weekly,Monthly,Daily, , ,Weekly, , ,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, ,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied, ,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , , , , , , , ,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , ,Satisfied, ,1,0,0,3.803,0, , ,-1
R_1jV25SmkOg0P3Lu,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,26.0,4.333333333333333,3.011090610836324,1,School,College of Nursing,Staff/Administrator, ,1, ,1, , , ,1, , ,5 years or more, ,5 years or more, , , ,5 years or more, , ,Weekly, ,Daily, , , ,Weekly, , ,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Approvers should be able to see more detail in ap workflow.  The level of secrecy between the initial servicelink rep and the person who takes care of the request is ridiculous.  There are times when they don't even know who has it., , , , , , ,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,I am not confident in the knowledge base of PeopleSync responders., , , , , , , , , , , , , , , , , , ,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied, , , , , , , ,Neutral,I do not think there is sufficient communication with the stakeholders until after applications have been secured.,1,0,0,91.177,0, , ,-1
R_2PjQc6VkKaMXZ28,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,26.0,3.7142857142857144,2.0586634591635513,1,Information Technology, ,Staff/Administrator, ,1,1,1, , , ,1, , ,3 years to less than 5 years,Less than 6 months,2 years to less than 3 years, , , ,3 years to less than 5 years, , ,Weekly,Monthly,Weekly, , , ,Daily, , ,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied, ,Neutral,Neutral,Neutral,Neutral,Neutral, ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , , , , , , , , , , , , , ,Very Satisfied,Dissatisfied,Satisfied,Neutral,Dissatisfied,Many times the data is not always accurate or up to date., , , , , , ,Very Satisfied,Great group. Happy to partner with them,1,0,0,1.369,0, , ,-1
R_3CIzhobZqrehOAt,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,29.0,4.142857142857143,2.0354009783964297,1,Payroll, ,Staff/Administrator, ,1, ,1, ,1, ,1, , ,3 years to less than 5 years, ,3 years to less than 5 years, ,3 years to less than 5 years, ,2 years to less than 3 years, , ,Weekly, ,Daily, ,Weekly, ,Monthly, , ,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , ,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied, , , , , , , ,Neutral,Neutral,Neutral,Neutral,Neutral, , , , , , , ,Neutral,Neutral,Neutral,Neutral,Neutral, , , , , , , ,Satisfied, ,1,0,0,2.214,0, , ,-1
R_3fdU6K4bsR5nupA,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,27.0,5.4,2.6076809620810595,1,School,Gallatin,Staff/Administrator, , , , , ,1, ,1, , , , , , ,5 years or more, ,5 years or more, , , , , , ,Daily, ,Daily, , , , , , , , , , , , , , , , , , , , , , , , , , ,Neutral,Neutral,Neutral,Neutral,Neutral, , , , , , , ,Neutral,Neutral,Neutral,Neutral,Neutral, , , , , , , ,Neutral,"The University needs to get rid of Service Link or improve it.  It is infuriating to get a canned response that says ""Your request regarding Service Desk (NYU ITS) with reference number #XXXXXX has been resolved with Resolution Reason: Fixed"" when the problem has not been fixed.  This includes messages from all offices using Service Link (registrar, financial aid, etc.) not just ITS.  Also Service Link auto responses do not include the initial email to the University so the client has no conversation thread when problems continue.",1,0,0,.795,0, , ,-1
R_1FE3DHPCwU1fWmJ,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,30.0,5.0,4.1952353926806065,1,Others,Office of the Registrar,Staff/Administrator, ,1, ,1, ,1, , , , ,Less than 6 months, ,3 years to less than 5 years, ,3 years to less than 5 years, , , , ,Weekly, ,Weekly, ,Daily, , , , ,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , , , , , , , , , , , , , ,Very Satisfied, ,1,0,0,9.986,0, , ,-1
R_2Uhzh5RNRHacCFS,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,30.0,4.285714285714286,2.214669705568283,1,Project Services Office (PSO), ,Staff/Administrator, ,1, ,1, ,1, ,1, , ,Less than 6 months, ,6 months to less than 2 years, ,6 months to less than 2 years, ,6 months to less than 2 years, , ,Monthly, ,Monthly, ,Daily, ,Daily, , ,Neutral,Neutral,Neutral,Neutral,Neutral, , , , , , , ,Neutral,Neutral,Neutral,Neutral,Neutral, , , , , , , ,Satisfied,Satisfied,Neutral,Neutral,Satisfied, , , , , , , ,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , ,Satisfied, ,1,0,0,.946,0, , ,-1
R_1f31XfuodAHMeE8,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,22.0,3.142857142857143,1.864454471471609,1,Finance, ,Staff/Administrator, ,1,1,1, , , ,1, , ,3 years to less than 5 years,2 years to less than 3 years,3 years to less than 5 years, , , ,2 years to less than 3 years, , ,Daily,Weekly,Weekly, , , ,Daily, , ,Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,"Major failure of JEMS over the summer of 2015.  In addition, the JEMS interface with FAME often fails, resulting in entries being posted into the wrong accounting period and entries never posting at all.  Service link tickets have also been closed with no resolutions, only to be reopened after complaint.",Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , , , , , , , , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Neutral,"JEMS, the service surrounding it, and its interface with FAME needs to be re-examined.",1,0,0,2.007,0, , ,-1
R_2Y4WUjpanv784wx,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,47.0,5.875,3.399054490379851,1,Others,Undergraduate Admissions,Staff/Administrator, , , ,1,1,1, ,1,1,ImageNow, , ,5 years or more,6 months to less than 2 years,5 years or more, ,5 years or more,3 years to less than 5 years, , , ,Weekly,Once a year,Daily, ,Daily,Daily, , , , , , , , , , , , , ,Dissatisfied,Satisfied,Dissatisfied,Neutral,Neutral,Instructions/screen shots sent for PeopleSync did not match actual business process.,Neutral,Neutral,Neutral,Neutral,Neutral, ,Satisfied,Neutral,Very Satisfied,Very Satisfied,Satisfied, , , , , , , ,Satisfied,Dissatisfied,Satisfied,Satisfied,Very Satisfied,Interactive Reporting is frequently down and requires mid-day refreshes.,Neutral,Satisfied,Satisfied,Satisfied,Very Satisfied, ,Satisfied, ,1,0,0,1.137,0, , ,-1
R_ZIg5xT5IensP6ed,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,29.0,4.142857142857143,3.2877840272018797,1,Student Services, ,Staff/Administrator, ,1,1,1, ,1, , , , ,6 months to less than 2 years,6 months to less than 2 years,2 years to less than 3 years, ,5 years or more, , , , ,Daily,Monthly,Weekly, ,Daily, , , , ,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , , , , , , , , , , , , , ,Satisfied, ,1,0,0,3.559,0, , ,-1
R_T2bDPl9m1qRrnXP,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,34.0,4.25,2.7645717829090897,1,School,Law,Staff/Administrator, ,1,1,1, , ,1,1, , ,5 years or more,5 years or more,5 years or more, , ,5 years or more,5 years or more, , ,Monthly,Daily,Monthly, , ,Daily,Daily, , ,Satisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,It would be good if your teams would partner with clients and local IT teams to provide better service.,Satisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,See other answer,Satisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,See other answer, , , , , , , , , , , , ,Satisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,See other answer,Satisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,See other answer, , , , , , ,Neutral,See other answer,1,.996,.996,1.557,1, , ,-1
R_3Gj0Bj1oNSiSt3k,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,14.0,3.5,1.0,1,Finance, ,Staff/Administrator, , , ,1, , , , , , , , ,5 years or more, , , , , , , , ,Weekly, , , , , , , , , , , , , , , , , , ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Very Satisfied,Can not think of anything,1,0,0,4.288,0, , ,-1
R_3GpPD40TnH9WzpO,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,28.0,3.5,1.8516401995451028,1,Finance, ,Staff/Administrator, ,1,1,1, ,1, ,1, , ,5 years or more,5 years or more,6 months to less than 2 years, ,6 months to less than 2 years, ,3 years to less than 5 years, , ,Daily,Daily,Monthly, ,Weekly, ,Daily, , ,Neutral,Satisfied,Neutral,Dissatisfied,Dissatisfied,At times there is great delay in response to problems/issues.  With vague and sometimes useless responses  the user is left confusion.   Asking why a problem occurred is often met with either no response of a litany  of confusing verbiage that appear to show that the IT officer does not want to divulge information. 
Timing of responses can also be improved.,Satisfied,Satisfied,Neutral,Dissatisfied,Neutral,Lack of timely response.  Too many followup emails is needed to address an issue.,Satisfied,Satisfied,Satisfied,Satisfied,Neutral, , , , , , , ,Neutral,Neutral,Neutral,Neutral,Neutral, , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied,"The applications are ok.  It's the lack of timely response that needs improvement.  In addition, it appears the the level of expertise to solve a problems is minimal among the staff with only one person like a Saji Sebastion having the knowledge/expertise or know how.",1,0,0,19.075,0, , ,-1
R_WoIJDyGxcggT1ap,Default Response Set, ,11/4/2015,11/4/2015, , , , ,1,0,38.0,4.222222222222222,2.488864087178013,1,School,Steinhardt,Staff/Administrator, ,1,1,1,1,1, ,1, , ,5 years or more,5 years or more,5 years or more,Less than 6 months,5 years or more, ,5 years or more, , ,Once a year,Monthly,Monthly,Once a year,Daily, ,Daily, , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied,Neutral,Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied, ,1,0,0,1.673,0, , ,-1
R_3KMkBHVzPoxisSd,Default Response Set, ,11/4/2015,11/4/2015, , , , ,1,0,31.0,3.875,2.416461403433896,1,Finance, ,Staff/Administrator, ,1,1,1, , , ,1,1,Cayuse,3 years to less than 5 years,3 years to less than 5 years,3 years to less than 5 years, , , ,2 years to less than 3 years,2 years to less than 3 years, ,Daily,Daily,Daily, , , ,Daily,Daily, ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , , , , , , , , , , , , , ,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Generating a BSR or BDR for a project can sometimes take some time to process; not instantaneous,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, ,Satisfied, ,1,0,0,2.134,0, , ,-1
R_DC5lh7NZQJwuYil,Default Response Set, ,11/4/2015,11/4/2015, , , , ,1,0,41.0,5.125,3.9798600118956085,1,Others,Student Affairs,Staff/Administrator, ,1,1,1, , , ,1,1,ibuy,5 years or more,5 years or more,5 years or more, , , ,3 years to less than 5 years,5 years or more, ,Weekly,Monthly,Daily, , , ,Daily,Daily, ,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied, ,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied, ,Neutral,Neutral,Satisfied,Very Satisfied,Very Satisfied, , , , , , , , , , , , , , , , , , , ,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied, ,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied, ,Satisfied, ,1,0,0,1.177,0, , ,-1
R_ZEj7MBeX4lg1zVv,Default Response Set, ,11/4/2015,11/4/2015, , , , ,1,0,25.0,4.166666666666667,1.6020819787597222,1,Finance, ,Staff/Administrator, , , ,1, ,1, ,1, , , , ,3 years to less than 5 years, ,3 years to less than 5 years, ,3 years to less than 5 years, , , , ,Daily, ,Daily, ,Weekly, , , , , , , , , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied, ,1,0,0,1.584,0, , ,-1
R_3KTSMZlukGzFIv6,Default Response Set, ,11/4/2015,11/4/2015, , , , ,1,0,27.0,3.857142857142857,1.6761634196950514,1,Finance, ,Staff/Administrator, , ,1,1, ,1, ,1, , , ,5 years or more,3 years to less than 5 years, ,3 years to less than 5 years, ,2 years to less than 3 years, , , ,Daily,Weekly, ,Daily, ,Daily, , , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied, ,1,0,0,1.619,0, , ,-1
R_2U2Z3D9XxhZPLqp,Default Response Set, ,11/4/2015,11/4/2015, , , , ,1,0,28.0,3.5,1.8516401995451028,1,Finance, ,Staff/Administrator, ,1,1,1, ,1, ,1, , ,5 years or more,5 years or more,5 years or more, ,5 years or more, ,5 years or more, , ,Weekly,Daily,Weekly, ,Monthly, ,Daily, , ,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied, ,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied, ,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied, , , , , , , ,Satisfied, ,1,0,0,3.549,0, , ,-1
R_3J4zAOko6bHFjHC,Default Response Set, ,11/4/2015,11/4/2015, , , , ,1,0,26.0,5.2,4.919349550499537,1,Others,N/A,Staff/Administrator, ,1, , , , , ,1, , ,2 years to less than 3 years, , , , , ,2 years to less than 3 years, , ,Daily, , , , , ,Daily, , ,Very Dissatisfied,Very Dissatisfied,Neutral,Very Dissatisfied,Neutral,UDW+ doesn't work most of the time and no notice are given. 
Budmod and JEMS; many times took more than 1 business day to post.
Modtrak: there are times when chartfield get remove with no explanation., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Very Dissatisfied,Very Dissatisfied,Neutral,Very Dissatisfied,Neutral,UDW+; many times it doesn't work., , , , , , ,Dissatisfied,ensure application works during work time.,1,0,0,1.365,0, , ,-1
R_yrmCAdNExY4cRR7,Default Response Set, ,11/4/2015,11/4/2015, , , , ,1,0,32.0,4.0,2.7774602993176543,1,School,School,Staff/Administrator, ,1,1,1, ,1, ,1, , ,5 years or more,5 years or more,5 years or more, ,5 years or more, ,5 years or more, , ,Daily,Once a year,Monthly, ,Daily, ,Daily, , ,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,"don't need messenger service, need people who know the systems and are able to give answers, not just a ticket!!",Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,"Hyperion, don't use it that often, find it hard to work with. Not very intuitive for my taste",Neutral,Neutral,Neutral,Neutral,Neutral, , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , ,Dissatisfied,"the only service I am satisfied with is DSG UDW+, people can help and have an excellent knowledge of what they are taking about. Every thing else just a service to write down your issue, never a quick response, and not very caring!",1,0,0,13.95,0, , ,-1
R_1LTjpldpOO0VmCG,Default Response Set, ,11/4/2015,11/4/2015, , , , ,1,0,18.0,4.5,1.9148542155126762,1,Project Services Office (PSO), ,Staff/Administrator, , , ,1, , , , , , , , ,2 years to less than 3 years, , , , , , , , ,Daily, , , , , , , , , , , , , , , , , , ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Very Satisfied,Prinson and his team Rock!,1,0,0,3.445,0, , ,-1
R_w5hhWDSqdN65J5f,Default Response Set, ,11/4/2015,11/4/2015, , , , ,1,0,26.0,4.333333333333333,3.32665998663324,1,School,Steinhardt,Staff/Administrator, ,1, ,1, , , , ,1,NYU Classes,2 years to less than 3 years, ,2 years to less than 3 years, , , , ,2 years to less than 3 years, ,Weekly, ,Weekly, , , , ,Weekly, ,Neutral,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Not user friendly. Often confusing. Pages are either too big or small to fit on screen., , , , , , ,Neutral,Neutral,Neutral,Neutral,Neutral, , , , , , , , , , , , , , , , , , , , , , , , , ,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Compared to other LMS' it is not up to standards. Hard to use and missing key functionalities.,Dissatisfied,All seem like they were made in 1990,1,0,0,1.596,0, , ,-1
R_27qhnPy2nIEnDEV,Default Response Set, ,11/4/2015,11/4/2015, , , , ,1,0,30.0,4.285714285714286,2.7516228977511745,1,School,Steinhardt,Staff/Administrator, ,1, ,1,1, , ,1, , ,6 months to less than 2 years, ,5 years or more,5 years or more, , ,5 years or more, , ,Monthly, ,Weekly,Weekly, , ,Daily, , ,Neutral,Neutral,Neutral,Dissatisfied,Dissatisfied,"More ""end user"" services should be made available for payment gateway.  Although troubleshooting services are good, setting up a new gateway is complicated and likely can't be done easily unless the end user has done this several times before.", , , , , , ,Dissatisfied,Neutral,Neutral,Neutral,Dissatisfied,mytime is just a difficult and clunky app to use ... iLearn portal is a bit clunky and authoring modules is very time consuming.,Neutral,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Neutral,Service availability is excellent.  UX (user experience) and interface design on the apps need a lot of work.,1,0,0,2.355,0, , ,-1
R_30c7keKyo6Rba97,Default Response Set, ,11/4/2015,11/4/2015, , , , ,1,0,26.0,3.7142857142857144,1.889822365046136,1,Finance, ,Staff/Administrator, ,1, ,1, ,1, ,1, , ,2 years to less than 3 years, ,2 years to less than 3 years, ,2 years to less than 3 years, ,6 months to less than 2 years, , ,Daily, ,Daily, ,Weekly, ,Once a year, , ,Neutral,Neutral,Neutral,Neutral,Neutral, , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Neutral,Neutral,Neutral,Neutral,Neutral, , , , , , , ,Satisfied, ,1,0,0,1.832,0, , ,-1
R_2qrdoRTDwwanDOz,Default Response Set, ,11/4/2015,11/4/2015, , , , ,1,0,37.0,4.111111111111111,2.5221243250702594,1,School,School,Staff/Administrator, ,1,1,1,1,1, ,1, , ,5 years or more,5 years or more,5 years or more,5 years or more,5 years or more, ,5 years or more, , ,Daily,Daily,Daily,Monthly,Daily, ,Daily, , ,Satisfied,Satisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,"ServiceLink does not meet our needs.  ""Tickets"" are issued and closed without explanation; messages are unclear and don't reference initial inquiry; response time is abysmal.  We need real people with real expertise to resolve problems.",Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, ,Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,"PeopleLink does not meet our needs, and iLearn programs are tedious and repetitive.  PeopleSync does not provide the information we need in clear, readily accessible ways.  MyTime is a nightmare.  PASS seems great by comparison.  We need real people who understand our school to quickly address problems to provide better customer service.  We are not serving our customers at an acceptable level and service has declined dramatically.",Satisfied,Satisfied,Neutral,Neutral,Neutral, ,Satisfied,Satisfied,Neutral,Satisfied,Satisfied, , , , , , , ,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied, , , , , , , ,Neutral,"Get rid of the call desks and return to providing good ""local"" customer service by providing staff liaisons that understand specific school and unit needs.  One size does not fit all, and we look terrible to our customers.",1,0,0,3.278,0, , ,-1
R_ALKTzVfwYeva6yt,Default Response Set, ,11/4/2015,11/4/2015, , , , ,1,0,15.0,3.0,1.8708286933869707,1,Payroll, ,Staff/Administrator, ,1, ,1, , , , , , ,2 years to less than 3 years, ,3 years to less than 5 years, , , , , , ,Monthly, ,Daily, , , , , , ,Neutral,Neutral,Neutral,Neutral,Neutral, , , , , , , ,Neutral,Neutral,Neutral,Dissatisfied,Neutral,"When maintenance is formed on these services, the communication for when downtime is happening and when the services are back up is almost non-existent.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Dissatisfied,Lack of communication.,1,3.075,3.075,4.048,1, , ,-1
R_1NgZ3vAar7vmWh4,Default Response Set, ,11/4/2015,11/4/2015, , , , ,1,0,24.0,6.0,4.760952285695233,1,Others,Anonymous,Staff/Administrator, , , ,1, , , , , , , , ,Less than 6 months, , , , , , , , ,Monthly, , , , , , , , , , , , , , , , , , ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Very Satisfied, ,1,0,0,1.061,0, , ,-1
R_2rIMvqfNUZru65b,Default Response Set, ,11/4/2015,11/4/2015, , , , ,1,0,22.0,3.6666666666666665,1.7511900715418263,1,Payroll, ,Staff/Administrator, ,1, ,1, ,1, , , , ,3 years to less than 5 years, ,2 years to less than 3 years, ,6 months to less than 2 years, , , , ,Monthly, ,Daily, ,Monthly, , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Neutral,Satisfied,Satisfied,Neutral,Satisfied, , , , , , , , , , , , , , , , , , , ,Satisfied, ,1,0,0,9.493,0, , ,-1
R_1F5R4H1UqW0SGuG,Default Response Set, ,11/4/2015,11/4/2015, , , , ,1,0,24.0,4.8,2.4899799195977463,1,School,TSOA,Staff/Administrator, , , ,1, ,1, , , , , , ,5 years or more, ,5 years or more, , , , , , ,Daily, ,Daily, , , , , , , , , , , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied, , , , , , , ,Satisfied,Satisfied,Satisfied,Dissatisfied,Very Satisfied,There are improvements and things that could be done to Albert to make life easier and there has not been a user assessment of what small adjustments that could be made. I.e. including email addresses for faculty members in the course weekly schedule, , , , , , , , , , , , , , , , , , ,Satisfied, ,1,0,0,1.255,0, , ,-1
R_wMdrcoiuTEV8hFf,Default Response Set, ,11/5/2015,11/5/2015, , , , ,1,0,23.0,3.8333333333333335,2.9944392908634274,1,School,LS/FAS,Faculty, ,1, ,1, ,1, , , , ,5 years or more, ,5 years or more, ,5 years or more, , , , ,Monthly, ,Monthly, ,Weekly, , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , , , , , , , , , , , , , ,Satisfied, ,1,0,0,1.359,0, , ,-1
R_UbBqVwlHDLsbttf,Default Response Set, ,11/5/2015,11/5/2015, , , , ,1,0,33.0,4.125,2.6423744732991303,1,School,Steinhardt,Staff/Administrator, ,1,1,1,1, , ,1, , ,5 years or more,5 years or more,5 years or more,6 months to less than 2 years, , ,5 years or more, , ,Daily,Weekly,Weekly,Once a year, , ,Weekly, , ,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied, ,Neutral,Neutral,Satisfied,Satisfied,Satisfied, ,Neutral,Satisfied,Neutral,Neutral,Satisfied, ,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , , , , , , , ,Neutral,Neutral,Neutral,Satisfied,Satisfied, , , , , , , ,Satisfied, ,1,0,0,2.577,0, , ,-1
